FID,Project_Name,,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Coordinates,,geom,Route
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-99,Day Spa,,16-06-2015,08-07-2015,6:00 P.M.,Fifth District Fire Department,5000 Signal Bell Lane,Clarksville,21029,"(39.2351,-76.874)",,POINT (1348011.7629703507 571239.4968081918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-98,Hill Property,,04-06-2015,07-07-2015,6:00 PM,St. Paul's Evangelical Lutheran Church,11795 Route 216,Fulton,20759,"(39.1484,-76.9478)",,POINT (1327094.416328352 539700.409229191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-97,Dorsey's Ridge,,04-06-2015,07-07-2015,6:00 p.m.,George Howard Bldg. Zoning Board,3430 Courthouse Drive,Ellicott City,21043,"(39.2631,-76.8166)",,POINT (1364290.0367983542 581407.9060701914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-96,The Towns at Court Hill,,27-05-2015,02-07-2015,6:00 PM,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,"(39.2721,-76.801)",,POINT (1368719.1057663523 584683.6742781922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-95,Burgess Mill Station II,,27-05-2015,02-07-2015,7:00 PM,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,"(39.2728,-76.8021)",,POINT (1368406.5089483522 584946.2303001899),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-94,Tim Martins,,03-06-2015,02-07-2015,6:00 p.m.,Emmanuel United Methodist Church,10755 Scaggsville Road,Laurel,20723,"(39.1347,-76.8822)",,POINT (1345701.5601754189 534728.3882621322),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-93,Settlement at Savage Mill,,27-05-2015,01-07-2015,6:30 PM,Carroll Baldwin Hall,9035 Baltimore Street,Savage,20763,"(39.1357,-76.8294)",,POINT (1360661.3063743524 535070.404697191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-92,Walker Meadows,,12-05-2015,30-06-2015,6:30 PM,West Friendship Volunteer Fire Dept,12535 Old Frederick Road,Sykesville,21784,"(39.3427,-76.9389)",,POINT (1329632.7266269028 610373.1531829964),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-91,"Olde Scaggsville, LLC",,04-06-2015,30-06-2015,6:00 p.m.,Emanuel United Methodist Church,10755 Scaggsville Road,Laurel,20723,"(39.147,-76.9042)",,POINT (1339454.385613069 539208.2431801651),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-90,Crawford Property,,27-05-2015,30-06-2015,6:30 PM,Dayton Oaks Elementary School,4691 Ten Oaks Road,Dayton,21036,"(39.1842,-77.0008)",,POINT (1312071.72855898 552710.9182379022),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-8f,Piney Run Overlook,,22-05-2015,25-06-2015,6:00 PM,Chapelgate Church,2600 Marriottsville Road,Marriottsville,21104,"(39.3503,-76.8963)",,POINT (1341696.4656653516 613130.3342753723),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-8e,Percival Property,,22-05-2015,22-06-2015,6:00 PM,Glenwood Library,2350 Route 97,Cooksville,21723,"(39.3461,-77.02)",,POINT (1306639.2932086624 611601.195761431),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-8d,Khan Property,,22-05-2015,22-06-2015,7:00 PM,Glenwood Library,2350 Route 97,Cooksville,21723,"(39.346,-77.0199)",,POINT (1306661.6841015406 611560.0711629521),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-8c,"Streaker Property, Lots 1-4",,20-05-2015,16-06-2015,6:00 PM,West Friendship Volunteer Fire Dept,12535 Old Frederick Road,West Friendship,21794,"(39.3185,-76.9751)",,POINT (1319360.3094720691 601547.4781649429),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-8b,Gates at Maple Lawn,,11-05-2015,10-06-2015,6:00 P.M.,St. Paul's Lutheran Church,11797 Scaggsville Road,Fulton,20759,"(39.1481,-76.9114)",,POINT (1337415.0104965866 539600.0021118801),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-8a,Gratia Plena LLC Property,,12-05-2015,04-06-2015,6:00 PM,River Hill Meeting Room,6330 Trotter Road,Clarksville,21029,"(39.2352,-76.9346)",,POINT (1330832.306432873 571270.6254475042),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-89,Gratia Plena LLC Property,,12-05-2015,04-06-2015,6:00 PM,River Hill Meeting Room,6330 Trotter Road,Clarksville,21029,"(39.2352,-76.9346)",,POINT (1330832.306432873 571270.6254475042),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-88,Gratia Plena LLC Property,,12-05-2015,04-06-2015,6:00 PM,River Hill Meeting Room,6330 Trotter Road,Clarksville,21029,"(39.2352,-76.9346)",,POINT (1330832.306432873 571270.6254475042),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-87,Five Acre Wellness,,01-05-2015,03-06-2015,6:00 p.m.,Lisbon Volunteer Fire Dept.,1330 Woodbine Road,Woodbine,21797,"(39.2944,-77.0745)",,POINT (1291194.154528536 592805.9358303472),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-86,Trotters Knoll,,11-05-2015,02-06-2015,6:00 PM,Waterloo Elementary School,5940 Waterloo Road,Columbia,21045,"(39.2157,-76.7931)",,POINT (1370933.07343835 564165.0302541927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-85,Berman Property,,29-04-2015,27-05-2015,6:00 p.m.,Chapelgate Presbyterian Church,2600 Marriottsville Road,Marriottsville ,21044,"(39.3181,-76.8619)",,POINT (1351453.2866524644 601399.2751913536),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-84,Streaker Firewood,,01-05-2015,27-05-2015,6:00 p.m.,West Friendship Volunteer Fire Dept.,12535 Old Frederick Road,Sykesville,21784,"(39.3111,-76.9796)",,POINT (1318105.543478582 598851.0715672094),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-83,Chase Farm Resubdivision,,02-04-2015,11-05-2015,6:00 PM,Gary J. Arthur Community Center,2400 Route 97,Cooksville,21723,"(39.2534,-77.0392)",,POINT (1301207.4794796593 577878.7889346723),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-82,"Holiday Hills, Lots 117 & 118",,08-04-2015,04-05-2015,6:00 PM,Central Branch Library,10375 LIttle Patuxent Parkway,Columbia,21044,"(39.1783,-76.8807)",,POINT (1346130.2196364403 550580.0081176534),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-81,Merriweather SW FDP Amendment,,06-04-2015,29-04-2015,6:30 PM,Slayton House,10400 Cross Fox Lane,Columbia,21044,"(39.2094,-76.8621)",,POINT (1351388.5454603508 561871.4833971933),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-80,Dorsey's Ridge,,23-03-2015,21-04-2015,6:00 p.m.,St. Paul Catholic Church,3755 St. Paul Steet,Ellicott City,21043,"(39.2631,-76.8166)",,POINT (1364290.0367983542 581407.9060701914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-7f,CVS Jessup,,18-03-2015,14-04-2015,6:00 PM,Deep Run Elementary School,6925 Old Waterloo Road,Elkridge,21075,"(39.1743,-76.7776)",,POINT (1375338.3363023512 549121.1520351917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-7e,Grimes Property,,09-03-2015,07-04-2015,6:00 PM,North Laurel Community Center,9411 Whiskey Bottom Road,Laurel,20723,"(39.1146,-76.859)",,POINT (1352259.4559592456 527401.971441539),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-7d,Pine Grove,,24-02-2015,31-03-2015,6:00 PM,North Laurel Community Center,9411 Whiskey Bottom Road,Laurel,20723,"(39.1212,-76.8653)",,POINT (1350490.792420093 529800.3371230364),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-7c,Maryland International School,,06-03-2015,30-03-2015,6:00 PM,Elkridge Volunteer Fire Company,6275 Old Washington Road,Elkridge,21075,"(39.2077,-76.7187)",,POINT (1392019.3300563507 561259.0951131899),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-7b,Constellation Solar Farm,,18-02-2015,26-03-2015,6:00 PM,West Friendship Fire Station,12535 Old Frederick Road,Sykesville,21784,"(39.3223,-76.9511)",,POINT (1326169.9342101067 602936.6600766815),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-7a,Constellation Solar Farm,,19-02-2015,26-03-2015,6:00 p.m.,West Friendship Fire Station,12535 Old Frederick Road,Sykesville,21784,"(39.3223,-76.9511)",,POINT (1326169.9342101067 602936.6600766815),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-79,"Downtown Columbia - Crescent, Parcel A",,24-02-2015,26-03-2015,6:30 PM,Oakland Manor Ballroom,5430 Vantage Point Road,Columbia,21044,"(39.2058,-76.8619)",,POINT (1351449.7356568985 560575.1980161704),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-78,BRS Electric,,25-02-2015,25-03-2015,6:30 PM,Lisbon Elementary School,15901 Frederick Road,Woodbine,21797,"(39.3349,-77.0699)",,POINT (1292488.8427656218 607521.7250878252),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-77,Scott Streit,,26-01-2015,24-03-2015,6:00 p.m.,Glenwood Library,2350 Route 97,Cooksville,21723,"(39.3384,-77.089)",,POINT (1287096.7091594785 608776.8012875915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-76,"Winters Lane, Par. 740 & 815 ",,23-02-2015,17-03-2015,6:00 PM,Elkridge Volunteer Fire Dept.,6275 Old Washington Road,Elkridge,21075,"(39.1966,-76.7244)",,POINT (1390415.1680675857 557232.2138281167),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-75,Kindler Overlook III,,04-02-2015,12-03-2015,6:00 PM,East Columbia Branch Library,6600 Cradlerock Way,Columbia,21045,"(39.1642,-76.8846)",,POINT (1345004.5108031482 545460.4190105349),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-74,Robert's Crossing,,12-02-2015,11-03-2015,6:00 PM,Elkridge Senior Center,6540 Washington Blvd.,Elkridge,21075,"(39.1929,-76.7226)",,POINT (1390930.211015705 555890.9964791536),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-73,Friendship PInes,,28-01-2015,11-03-2015,6:00 PM,Circle D Farm,15535 Carrs Mill Road,Woodbine,21797,"(39.3141,-76.9979)",,POINT (1312916.0566779338 599959.195128832),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-72,Roxbury,,04-02-2015,04-03-2015,6:00 p.m.,Glenwood Library,2350 Route 97,Glenwood,21723,"(39.3007,-77.0168)",,POINT (1307555.025477875 595076.8703575823),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-71,Roxbury,,05-02-2015,04-03-2015,6:00 PM,Glenwood Branch Library,2350 Route 97,Cooksville,21723,"(39.3007,-77.0168)",,POINT (1307555.025477875 595076.8703575823),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-70,Hickory Overlook,,05-02-2015,02-03-2015,6:00 p.m.,Abiding Savior Lutheran Church,10689 Owen Brown Road,Columbia,21044,"(39.1966,-76.8829)",,POINT (1345491.253794048 557226.0895654429),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-6f,Pass Property,,22-01-2015,24-02-2015,7:00 PM,East Columbia Branch Library,6600 Cradlerock Way,Columbia,21045,"(39.1875,-76.8883)",,POINT (1343955.3258843645 553919.6341064665),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-6e,7410 Grace Drive,,22-01-2015,24-02-2015,6:00 PM,East Columbia Branch LIbrary,6600 Cradlerock Way,Columbia,21045,"(39.1871,-76.897)",,POINT (1341492.8312585726 553783.2791442946),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-6d,"Harwood Park, Lots 450-451",,23-01-2015,23-02-2015,6:00 PM,Elkridge Volunteer Fire Department,6275 Old Washington Blvd.,Elkridge,21075,"(39.1928,-76.7374)",,POINT (1386726.6224273033 555858.011970086),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-6c,Happy Hills Farm,,14-01-2015,09-02-2015,6:30 PM,Glenwood Branch LIbrary,2350 Route 97,Cooksville,21723,"(39.3504,-76.959)",,POINT (1323929.5450822972 613166.8345185537),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-6b,Mt. Gregory United Methodist Church,,09-01-2015,03-02-2015,6:00 P.M.,Mt. Gregory U.M.C.,2333 Route 97,Cooksville,21723,"(39.3078,-77.0203)",,POINT (1306551.4490123503 597658.0146561917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-6a,"CRESTLEIGH, LOT 16",,08-01-2015,02-02-2015,6:00 PM,MILLER BRANCH LIBRARY,9421 FREDERICK ROAD,ELLICOTT CITY,21043,"(39.2556,-76.8288)",,POINT (1360825.0725314505 578696.0914695002),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-69,Jagannath Temple Project,,23-12-2014,20-01-2015,6:00 P.M.,Glenwood Library Meeting Room,2350 Route 97,Glenwood,21723,"(39.3153,-77.0282)",,POINT (1304315.224984564 600409.3310592901),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-68,Allison Property,,04-12-2014,07-01-2015,6:00 p.m.,St. Mark's Episcopal Church,12700 Hall Shop Road,Highland,20777,"(39.1865,-76.9745)",,POINT (1319548.0925691426 553545.8007669747),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-67,VAN STONE PROPERTY,,10-12-2014,06-01-2015,7:00 PM,MILLER BRANCH LIBRARY,9421 FREDERICK ROAD,ELLICOTT CITY,21042,"(39.2595,-76.825)",,POINT (1361904.1060763486 580091.1379195713),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-66,Our Lady of Perpetual Help,,04-12-2014,30-12-2014,6:00 p.m.,"Harrison Hall, lower level",4801 Ilchester Road,Ellicott City,21043,"(39.2385,-76.767)",,POINT (1378346.9743983522 572475.9102081899),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-65,COTTAGE GROVE,,05-11-2014,10-12-2014,7:00 PM,EAST COLUMBIA BRANCH LIBRARY,6600 CRADLEROCK WAY,COLUMBIA,21045,"(39.1524,-76.8196)",,POINT (1363425.93047712 541164.5093043763),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-64,JUSTICE PLACE,,05-11-2014,10-12-2014,6:00 PM,EAST COLUMBIA BRANCH LIBRARY,6600 CRADLEROCK WAY,COLUMBIA,21045,"(39.192,-76.8654)",,POINT (1350463.1395363025 555558.6827984303),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-63,Mt. Pisgah A.M.E. Church,,04-11-2014,09-12-2014,6:00 p.m.,Mt. Pisgah AME Church,5901 Cedar Fern Court,Columbia,21044,"(39.2074,-76.8876)",,POINT (1344162.2592723519 561147.4542561918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-62,BRIGHTON ESTATES,,27-10-2014,21-11-2014,6:00 PM,FIFTH DISTRICT VOLUNTEER FIRE DEPT,5000 SIGNAL BELL LANE,CLARKSVILLE,21029,"(39.207,-76.9683)",,POINT (1321288.3785361275 561010.9676084239),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-61,GUILFORD LANDING,,28-10-2014,20-11-2014,7:00 PM,SAVAGE VOLUNTEER FIRE CO,8521 CORRIDOR ROAD,SAVAGE,20763,"(39.1503,-76.8176)",,POINT (1364014.6795287542 540379.5602002833),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-60,BARTLETT PROPERTY,,14-10-2014,19-11-2014,6:00 PM,ELKRIDGE VOLUNTEER FIRE DEPT,6275 OLD WASHINGTON ROAD,ELKRIDGE,21075,"(39.2107,-76.7561)",,POINT (1381431.330075372 562367.9142868202),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-5f,THE PARK AT LOCUST THICKET,,15-10-2014,19-11-2014,6:00 PM,ELKRIDGE VOLUNTEER FIRE DEPT,6275 OLD WASHINGTON BLVD,ELKRIDGE,21075,"(39.2055,-76.7856)",,POINT (1373063.6429277398 560449.5826787557),
